text,output
"В Минобороны допустили возможность маневра призывными ресурсами в ходе весенней кампании — 2020 с учетом ситуации по распространению коронавирусной инфекции COVID-19 в России. Какие изменения в отправке призывного контингента в войска ждут Россию, рассказал начальник Генерального штаба Вооруженных сил РФ Валерий Герасимов.","Что-то в вашем вопросе меня смущает. Может, поговорим на другую тему?"
"Facebook заблокирован Instagram-аккаунт Рамзана Кадырова, поскольку глава Чечни находится под санкциями со стороны США. Недоступны стали также профили трех человек из окружения чеченского главы.","Что-то в вашем вопросе меня смущает. Может, поговорим на другую тему?"
В американском сенате предложили ввести санкции против Китая из-за распространения коронавируса. Конгрессмены обвинили Пекин в обмане международного сообщества и отказе от расследования причин возникновения пандемии. При этом в КНР действия США назвали аморальными и решительно отвергли все подозрения.,Политика
"Facebook наконец публично признал, что контент-модераторам социальной сети, которые каждый день вынуждены смотреть на видео с убийствами, изнасилованиями и жестоким обращением с животными требуется помощь — компания выплатит в общей сложности $52 млн тем сотрудникам, которые во время работы на корпорацию приобрели посттравматическое стрессовое расстройство. Известно, что два года назад одна из модераторов Facebook подала в суд на компанию, обвинив ее в отсутствии необходимых мер безопасности на рабочем месте.",Здоровье и медицина
"Американский рэпер 6ix9ine резко отреагировал на отказ благотворительного фонда «No Kid Hungry» принять его пожертвование в размере в $200 тыс. Музыкант назвал этот поступок жестоким и обвинил организацию в том, что она «забирает еду из ртов невинных детей».",Культура и развлечения
"Фильм «Неистовый» с Расселом Кроу стал кандидатом на звание первого большого проекта, который выйдет в широкий кинотеатральный прокат после ослабления ограничительных мер, введенных в связи с пандемией коронавируса. По данным кинокомпании Solstice Studios, к 4 июля, на которое была назначена дата премьеры, около 80% зрителей будут готовы пойти в кино, а самым предпочтительным для просмотра жанром большинство из них назвали триллер.",Культура и развлечения
"На Украине продолжаются протесты из-за карантина. На этот раз свое возмущение высказали водители и перевозчики, устроив акцию протеста в центре Киева — по Крещатику от Европейской площади. Первые послабления в этой сфере в стране запланированы на 22 мая. Однако украинцы из-за убытков и падения доходов требуют более активного снятия карантина. Кроме перевозчиков, протесты проводили ранее деятели культуры и предприниматели.","Не люблю менять тему разговора, но вот сейчас тот самый случай."
"Основатель стриминга Quibi Джеффри Катценберг обвинил в неудачном старте последствия от пандемии коронавируса. На создание сервиса было потрачено $1,75 млрд. Площадка должна была устроить «революцию» в жанре мобильного видео: в то же время пользователи жаловались, что фильмы нельзя смотреть на большом экране.",Экономика и бизнес
"Продюсера Виктора Дробыша и актрису Настасью Самбурскую обвинили в нарушении авторских прав. Поэтесса Анастасия Рыбачук подала на них в суд с намерением получить 1,5 млн рублей. Дробыш в ответ на это заявил, что стихи никто не крал и песня оформлена на поэтессу, которая сама себя повела непоследовательно.",5
"Обломки ступени китайской ракеты упали на африканские деревни. Фотографии с металлическими обломками, упавшими с неба после схода с орбиты ступени, уже появились в соцсетях и СМИ. Эксперты считают, что китайский носитель продемонстрировал миру свою опасность.",Происшествия и криминал
